;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Pt. Triputra Textile Industry (Spinning Division);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Yarn Testing Data Base;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tangall;Bulan;Tahun;Count Description;Nom. Count;Lot;SPK;Yarn Type;Slub Code;Supplier;Mills Unit;Process Step;Test Type;MC. No.;Side;Sliver / Roving (Ne);Total Draft;TM α;TPI;TPM;Actual Twist;Rotor /Spindle Speed;Mean Ne;Min Ne;Max Ne;CV% Count;Mean Strength CN;Min Strength CN;Max Strength CN;CV% Strength;Tenacity (CN/Tex);Elongation%;CLSP;U%;CV b;CVm;CVm 1m;CVm 3m;CVm 10m;Thin-50%;"Thick
+50%";"Neps
+200%";"Neps
+280%";IPIs;OE IPI;Thin-30%;Thin-40%;"Thick
+35%";"Neps
+140%";Short IPI;Hairiness;Sh;S1u + S2u;S3u;DR 1.5m 5% (%);Remarks;;Count Description;Lot;SPK;Yarn Type;Supplier;Mills Unit;Process Step;Test Type;Side;;;;
;18-Aug-25;August;2025;RSM 10,7 1000,0 LL23 D2;10;1000,0;LL23 D2;Fancy;107;SSM;OE;Ring;Routine;1;N/A;0,670;14,93;5,40;17,08;672;;99000;25,80;25,80;25,80;1,00;650;1831;1831;2,75;28,39;11,72;4523;10,69;1,8;13,54;2,50;2,50;2,50;6;51;255;30;312;87;2096;176;503;1714;2393;5,13;1,44;1;1;18,61;;;4;101;201;302;401;501;602;701;I3;;;;
;18-Aug-25;August;2025;RSM 10,7 1000,0 LL23 D2;10;1000,0;LL23 D2;Fancy;107;SSM;OE;Winding;Routine;1;Kiri;0,670;14,93;5,56;17,60;693;;100708;30,42;30,42;30,42;0,99;650;1685;1834;2,39;33,47;11,22;5332;11,89;0,9;15,07;3,30;3,30;3,30;34;106;1151;171;1291;311;4015;575;828;5727;7129;4,89;1,34;1;1;23,63;;;4;101;201;302;401;501;603;701;I2;;;;
;07-Aug-25;August;2025;RS 10,7 4006,0 NL04 AX D2;10;4006,0;NL04 AX D2;Fancy;107;SSM;OE;Ring;Routine;1;N/A;0,670;14,93;3,65;11,56;455;;62000;10,10;10,10;10,10;0,44;650;2196;2276;1,44;11,11;14,31;1770;9,61;0,9;12,19;2,00;2,00;2,00;1;14;90;5;105;20;795;24;334;798;1155;7,05;1,71;2;2;15,32;;;5;102;203;302;401;501;602;701;I3;;;;
;07-Aug-25;August;2025;RS 10,7 4006,0 NL04 AX D2;10;4006,0;NL04 AX D2;Fancy;107;SSM;OE;Winding;Routine;1;Kiri;0,670;14,93;4,59;14,52;572;;99000;30,27;30,27;30,27;1,03;650;2082;2162;2,29;33,31;13,67;5306;11,61;1,0;14,72;2,69;2,69;2,69;16;101;1072;172;1189;289;3434;452;759;5289;6500;5,04;1,26;1;1;21,97;;;5;102;203;302;401;501;603;701;I2;;;;
;07-Aug-25;August;2025;RS 10,8 4006,0 NL04 AX D2;10;4006,0;NL04 AX D2;Fancy;108;SSM;OE;Ring;Routine;1;N/A;0,670;14,93;4,55;14,39;566;;97487;31,39;31,39;31,39;0,95;650;1969;2170;2,43;34,54;13,22;5502;11,88;1,1;15,08;2,95;2,95;2,95;24;125;1256;218;1405;367;3680;487;898;5785;7170;13,99;1,26;1;1;23,18;;;6;102;203;302;401;501;602;701;I3;;;;
;07-Aug-25;August;2025;RS 10,8 4006,0 NL04 AX D2;10;4006,0;NL04 AX D2;Fancy;108;SSM;OE;Winding;Routine;1;Kiri;0,670;14,93;3,13;9,91;390;;54000;10,12;10,12;10,12;0,51;650;2558;2765;1,19;11,14;17,02;1775;9,29;1,2;11,78;2,14;2,14;2,14;0;30;57;6;87;36;564;15;283;483;781;7,79;1,73;2;2;16,82;;;6;102;203;302;401;501;603;701;I2;;;;
;07-Aug-25;September;2025;E 7s 4600,0 LL28 D2;7;4600,0;LL28 D2;Normal;-;SSM;OE;Rotor;Routine;1;kanan;0,100;70,00;3,41;9,02;355;;77000;20,54;20,54;20,54;0,76;650;2306;2458;2,65;22,61;15,08;3602;10,06;1,2;12,74;2,43;2,43;2,43;2;35;162;22;199;58;1368;78;363;1442;1883;6,34;1,73;2;2;18,56;;;1;103;202;301;401;501;601;701;I1;;;;
;07-Aug-25;August;2025;E 7s 4600,0 LL28 D2;7;4600,0;LL28 D2;Normal;-;SSM;OE;Rotor;Routine;1;Kiri;0,100;70,00;3,81;10,08;397;;88000;24,11;24,11;24,11;0,55;650;2230;2230;1,62;26,53;14,27;4227;10,64;1,0;13,49;2,56;2,56;2,56;3;60;348;35;411;98;1916;128;504;2200;2832;5,33;1,31;1;1;23,68;;;1;103;202;301;401;501;601;701;I2;;;;
;07-Aug-25;August;2025;E 10s 4600,0 LL28 D2;10;4600,0;LL28 D2;Normal;-;SSM;OE;Rotor;Routine;1;kanan;0,100;100,00;3,99;12,60;496;;89000;26,56;26,56;26,56;1,10;650;2345;2473;2,46;29,23;15,45;4657;10,55;1,3;13,34;2,76;2,76;2,76;3;46;287;38;336;86;1859;138;430;2079;2647;5,21;1,26;1;1;21,59;;;2;103;202;301;401;501;601;701;I1;;;;
;07-Aug-25;August;2025;E 10s 4600,0 LL28 D2;10;4600,0;LL28 D2;Normal;-;SSM;OE;Rotor;Routine;1;Kiri;0,100;100,00;4,22;13,34;525;;88710;31,63;31,63;31,63;0,95;650;0;2463;2,28;34,81;14,97;5546;11,70;1,0;14,85;4,60;4,60;4,60;19;112;1096;193;1227;323;3555;411;805;5178;6394;5,24;1,29;1;1;23,54;;;2;103;202;301;401;501;601;701;I2;;;;
