;PT. Triputra Textile (Spinning Division);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;19/Feb/26;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Count Wise Summary of Monthly Production Review Februari-2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Date;Month;Unit Pabrik;Yarn Jenis Benang;Count (Ne);Slub Code;Lot Benang;SPK;Warna Cone / Cheese;Berat Cone / Cheese (Kgs);TM;TPI;Speed;Jumlah Spindel / Rotor Terpasang;Aktual Produksi;;;;100% Produksi (Bales);Target Produksi on Target OPR (Bales);Keuntungan atau Kerugian Efisiensi Bales on Target OPS / OPR;Target OPS / OPR;OPS/ OPR Aktual;OPS / OPR Worked;Produksi Effisiensi %;Effisiensi % Kerja;Penghentian (Minutes);;;;;;Spindles / Rotors Bekerja;Spindle / Rotors Effisiensi;Kerugian Produksi (Bales) Karena;;;;;;Harga Benang per Bale;;;
;;;;;;;;;;;;;;;Jumlah Cones / Cheese;Produksi (Kgs);Produksi (Lbs);Aktual Produksi (Bales);;;;;;;;;Power / Electric (min);Count Mengubah (min);Creel Mengubah (min);Preventive Mtc/Rotor/Ring Change Stoppage (min);Creel Short Stoppage (min);Total Penghentian  (min);;;Power Penghentian;Count Mengubah;Creel Mengubah;Preventive MTC./Rotor / Ring Cup Change;Creel (Sliver/Roving) Short;Kerugian Total;;;;
;14;Jan-26;OE;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;15;Jan-26;OE;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;16;Jan-26;OE;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;17;Jan-26;OE;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;18;Jan-26;OE;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;19;Jan-26;OE;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;20;Jan-26;OE;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;21;Jan-26;OE;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;22;Jan-26;OE;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;23;Jan-26;OE;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;24;Jan-26;OE;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;25;Jan-26;OE;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;26;Jan-26;OE;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;27;Jan-26;OE;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;28;Jan-26;OE;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
;29;Jan-26;OE;;-;;;;;;-;-;-;0;0;0,00;0,00;0,00;-;-;-;-;_;_;-;-;-;-;-;-;-;-;-;-; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ;-;;;
